📺央视频道,#genre#
黑龙江卫视,http://43.152.25.217:80/tencent.live.cbncdn.cn/__cl/cg:live/__c/heilongjiangHD/__op/default/__f/index.m3u8
西藏卫视,http://satellitepull.cnr.cn/live/wxxzws/playlist.m3u8
新疆卫视,http://satellitepull.cnr.cn/live/wxxjws/playlist.m3u8
纪实科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
哒啵赛事,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221227331/index.m3u8

🈳无结果频道,#genre#
CCTV-1,url
CCTV-16,url
浙江卫视,url
湖南卫视,url
香港卫视,url
卡酷少儿,url
金鹰卡通,url
优漫卡通,url
哈哈炫动,url
黑莓动画,url
甘肃卫视,url
宁夏卫视,url
黑莓电影,url
